,Date,day,monthly_index,Public_Holiday,Rainfall amount (millimetres),Minimum temperature (Degree C),Maximum temperature (Degree C),Daily global solar exposure (MJ/m*m),Total_Pedestrian_Count_per_day
322,2015-11-19,4,11,Not a public holiday,0.0,15.6,31.5,20.6,696855
323,2015-11-20,5,11,Not a public holiday,1.0,15.4,19.1,6.4,692160
324,2015-11-21,6,11,Not a public holiday,3.4,12.2,17.5,20.9,566248
325,2015-11-22,7,11,Not a public holiday,0.0,13.5,20.0,27.3,499809
326,2015-11-23,1,11,Not a public holiday,0.0,13.8,20.7,27.3,641411
327,2015-11-24,2,11,Not a public holiday,0.0,13.6,24.5,30.0,653772
328,2015-11-25,3,11,Not a public holiday,0.0,13.5,33.3,9.3,652086
329,2015-11-26,4,11,Not a public holiday,0.0,10.8,17.4,23.3,628438
330,2015-11-27,5,11,Not a public holiday,0.6,9.0,18.2,16.8,775820
331,2015-11-28,6,11,Not a public holiday,0.0,12.0,20.1,27.1,651564
332,2015-11-29,7,11,Not a public holiday,0.0,12.6,20.3,23.4,527324
