Description,Category,Subcategory,Year,Percentage
neighbourhoodDay,Suburb,Docklands 3008,2018,88.4
neighbourhoodDay,Suburb,East Melbourne 3002,2018,86.7
neighbourhoodDay,Gender,Male,2018,90.3
neighbourhoodDay,AgeRange,18-24 years,2018,89.8
neighbourhoodDay,AgeRange,25-34 years,2018,88.4
neighbourhoodNight,Suburb,City of Melbourne,2018,64.0
neighbourhoodNight,Suburb,East Melbourne 3002,2018,62.5
neighbourhoodNight,Suburb,Kensington / Flemington 3031,2018,62.0
neighbourhoodNight,Suburb,Parkville 3052,2018,74.9
neighbourhoodNight,Suburb,South Wharf / Southbank 3006,2018,71.0
neighbourhoodNight,Suburb,South Yarra 3141 / Melbourne/St Kilda Road 3004,2018,68.7
neighbourhoodNight,Gender,Male,2018,72.4
neighbourhoodNight,Gender,Female,2018,56.3
neighbourhoodNight,AgeRange,18-24 years,2018,56.2
transportNight,Suburb,City of Melbourne,2018,86.5
transportNight,Suburb,Docklands 3008,2018,82.5
transportNight,Suburb,East Melbourne 3002,2018,74.2
transportNight,Gender,Male,2018,85.1
transportNight,AgeRange,18-24 years,2018,88.1
transportNight,AgeRange,25-34 years,2018,85.9
transportNight,AgeRange,65+ years,2018,87.7
transportDay,Suburb,Docklands 3008,2018,66.3
transportDay,Suburb,Kensington / Flemington 3031,2018,50.7
transportDay,AgeRange,35-44 years,2018,58.7
transportDay,AgeRange,45-54 years,2018,62.2
transportDay,AgeRange,65+ years,2018,61.1
