Education_Sector,Entity_Type,SCHOOL_NO,School_Name,School_Type,School_Status,Address_Line_1,Address_Line_2,Address_Town,Address_State,Address_Postcode,Postal_Address_Line_1,Postal_Address_Line_2,Postal_Town,Postal_State,Postal_Postcode,Full_Phone_No,LGA_ID,LGA_Name,X,Y
Government,1,4060,Wattle Glen Primary School,Primary,O,16-24 Reynolds Road,,Wattle Glen,VIC,3096,PO Box 332,,DIAMOND CREEK,VIC,3089,03 9438 1259,571,Nillumbik (S),145.182037,-37.66884
Government,1,4062,Hampton Park Primary School,Primary,O,32 Somerville Road,,Hampton Park,VIC,3976,32 Somerville Road,,HAMPTON PARK,VIC,3976,03 9799 1440,161,Casey (C),145.252893,-38.030413
Government,1,4064,Colac West Primary School,Primary,O,12 Ligar Street,,Colac,VIC,3250,Post Office  Box 268,,Colac,VIC,3250,03 5231 2479,175,Colac-Otway (S),143.579749,-38.336417
Government,1,4087,Ripponlea Primary School,Primary,O,25 Carrington Grove,,St Kilda East,VIC,3183,25 Carrington Grove,,ST KILDA EAST,VIC,3183,03 9527 5728,231,Glen Eira (C),145.005054,-37.874608
Government,1,4098,Noojee Primary School,Primary,O,65 School Road,,Noojee,VIC,3833,P O Box 90,,NOOJEE,VIC,3833,03 5628 9558,83,Baw Baw (S),146.007862,-37.895136
Government,1,4112,Montmorency Primary School,Primary,O,60a Rattray Road,,Montmorency,VIC,3094,P O Box 42 Rattray Road,,MONTMORENCY,VIC,3094,03 9434 5944,66,Banyule (C),145.121599,-37.717652
Government,1,4117,Moriac Primary School,Primary,O,785 Hendy Main Road,,Moriac,VIC,3240,785 Hendy Main Road,,MORIAC,VIC,3240,03 5266 1298,649,Surf Coast (S),144.175572,-38.24138556
Government,1,4120,Ringwood North Primary School,Primary,O,172 Oban Road,,Ringwood North,VIC,3134,P O Box 2312,,RINGWOOD NORTH,VIC,3134,03 9876 3411,441,Maroondah (C),145.230739,-37.79313
Government,1,4123,Red Cliffs East Primary School,Primary,O,Block 67a Nerrum Avenue,,Red Cliffs,VIC,3496,P O Box 320,,RED CLIFFS,VIC,3496,03 5024 1147,478,Mildura (RC),142.214274,-34.305108
Government,1,4139,Lloyd Street Primary School,Primary,O,Lloyd Street,,Malvern East,VIC,3145,6- 10 Lloyd Street,,MALVERN EAST,VIC,3145,03 9573 4600,635,Stonnington (C),145.056108,-37.872416
