School_Name,School_Type,LGA_Name,nearest_stop_name,nearest_stop_distance_m
Hampton Park Primary School,Primary,Casey (C),Hampton Park PS/Somerville Rd,159.74262756431494
Ripponlea Primary School,Primary,Glen Eira (C),Merton St/Orrong Rd,253.53762766708329
Montmorency Primary School,Primary,Banyule (C),Montmorency Shopping Village/Rattray Rd,77.02692789015623
Ringwood North Primary School,Primary,Maroondah (C),Linda Pl/Cormistom Rd,208.8426762055811
Lloyd Street Primary School,Primary,Stonnington (C),Summerhill Ave/Darling Rd,358.74528630837426
Bayswater North Primary School,Primary,Maroondah (C),Burdekin Ave/Colbury Rd,75.71357937929656
Westbreen Primary School,Primary,Moreland (C),Westbreen PS/Pascoe St,47.333137043698
Point Cook Prep - Year 9 College,Pri/Sec,Wyndham (C),Flower Pot Park/Boardwalk Bvd,356.100844622094
Footscray North Primary School,Primary,Maribyrnong (C),Rosamond Rd/Ballarat Rd,94.28408629004626
Camberwell South Primary School,Primary,Boroondara (C),Hillside Pde/Toorak Rd,173.52382381858868
Parkdale Primary School,Primary,Kingston (C),Beacon St/Imes St,269.1547663611202
Hughesdale Primary School,Primary,Monash (C),Hughesdale PS/Austin St,121.62709409351736
Westgarth Primary School,Primary,Darebin (C),Sharp St/Bastings St,183.02318765016648
Auburn South Primary School,Primary,Boroondara (C),Auburn South PS/Tooronga Rd,13.491528892679286
Aspendale Primary School,Primary,Kingston (C),School Lane/Station St,178.99878569423464
Eltham North Primary School,Primary,Nillumbik (S),Short Rd/Wattletree Rd,69.34645354534477
Dandenong West Primary School,Primary,Greater Dandenong (C),Birdwood Ave/Benga Ave,60.34366447438121
Yarra Road Primary School,Primary,Maroondah (C),Yarra Road Primary School/Yarra Rd,25.074773507532722
Aberfeldie Primary School,Primary,Moonee Valley (C),Fawkner St/Buckley St,218.0814059143918
Dingley Primary School,Primary,Kingston (C),Dingley Primary School/Centre Dandenong Rd,96.63784594433763
Albion Primary School,Primary,Brimbank (C),Bazentin St/Sydney St,300.65001447658284
Nepean Special School,Special,Frankston (C),Lorna St/Klauer St,77.15345859768033
Brunswick South West Primary School,Primary,Moreland (C),Daly St/Dawson St #33,134.95341923957616
Bell Primary School,Primary,Darebin (C),Oakover Rd/Gilbert Rd #38,191.93489446906702
Chatham Primary School,Primary,Boroondara (C),Wharton St/Whitehorse Rd #50,393.4895510861407
Caulfield South Primary School,Primary,Glen Eira (C),Caulfield South PS/Marara Rd,138.71234553532454
Ashburton Primary School,Primary,Boroondara (C),Victory Bvd/High St,182.90361328479477
Bentleigh West Primary School,Primary,Glen Eira (C),Brewer Rd/Nepean Hwy,318.4797163981179
Briar Hill Primary School,Primary,Banyule (C),Community Hall/Mountain View Rd,157.79996928816837
McKinnon Primary School,Primary,Glen Eira (C),McKinnon PS/Tucker Rd,29.570672372669925
Clayton South Primary School,Primary,Kingston (C),Clayton South PS/Clayton Rd,43.56257491168696
Ivanhoe East Primary School,Primary,Banyule (C),Veitch St/Mcarthur Rd,174.88126300268195
Brunswick North West Primary School,Primary,Moreland (C),Jacobs Reserve/Melville Rd #38,137.36592647234158
Fleetwood Primary School,Primary,Casey (C),Darling Way/Fleetwood Dr,69.64124413172993
Sandringham East Primary School,Primary,Bayside (C),Victoria St/Bluff Rd,205.6228728603267
Seaholme Primary School,Primary,Hobsons Bay (C),Sussex St/Millers Rd,74.46047402998282
Somers Primary School,Primary,Mornington Peninsula (S),Camp Hill Rd/Tasman Rd,183.69805081806877
Travancore School,Special,Moonee Valley (C),25-Mount Alexander College/Mt Alexander Rd,101.08013476470998
Upwey Primary School,Primary,Yarra Ranges (S),Upwey Station/Burwood Hwy,114.12166386881779
Coburg North Primary School,Primary,Moreland (C),Montifore St/O'Hea St,30.334010861287037
Rosanna Primary School,Primary,Banyule (C),Dougharty Rd/Waiora Rd,257.37675741458986
Wantirna South Primary School,Primary,Knox (C),Wantirna South PS/Tyner Rd,14.875504676285807
Strathmore Primary School,Primary,Moonee Valley (C),Strathmore PS/York St,166.15715207692747
