Date,Time,Location,Value,New Value
29/01/20,3:00,Brooklyn,11.4,11.4
29/01/20,4:00,Brooklyn,10.5,10.5
29/01/20,5:00,Brooklyn,7.9,7.9
29/01/20,6:00,Brooklyn,5.9,5.9
29/01/20,7:00,Brooklyn,5.2,5.2
29/01/20,8:00,Brooklyn,5.4,5.4
29/01/20,9:00,Brooklyn,6.0,6.0
29/01/20,10:00,Brooklyn,6.9,6.9
29/01/20,11:00,Brooklyn,8.0,8.0
29/01/20,12:00,Brooklyn,11.4,11.4
29/01/20,13:00,Brooklyn,13.5,13.5
29/01/20,14:00,Brooklyn,13.8,13.8
29/01/20,15:00,Brooklyn,,13.600000000000001
29/01/20,16:00,Brooklyn,13.4,13.4
29/01/20,17:00,Brooklyn,12.5,12.5
29/01/20,18:00,Brooklyn,9.0,9.0
29/01/20,19:00,Brooklyn,9.4,9.4
29/01/20,20:00,Brooklyn,13.7,13.7
29/01/20,21:00,Brooklyn,17.1,17.1
29/01/20,22:00,Brooklyn,12.0,12.0
29/01/20,23:00,Brooklyn,9.4,9.4
