Station Name,Station access,Staffed,Escalators,Lift,Independent boarding,Shelter,Low platform,Tactile edges,Hearing Loop,Info screens,Path Widths,Toilet,Parking,Pick up / Drop off
Officer Station,Yes,No,No,No,In Part,In Part,No,Yes,No,No,No,No,No,No
Beaconsfield Station,Yes,No,No,No,In Part,No,No,Yes,No,No,No,No,Yes,No
Berwick Station,Yes,Yes,No,No,In Part,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes
Narre Warren Station,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hallam Station,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Dandenong Station,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes
Yarraman Station,Yes,No,No,No,In Part,In Part,In Part,Yes,Yes,No,No,No,Yes,No
Noble Park Station,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Sandown Park Station,Yes,No,No,No,No,In Part,In Part,Yes,No,No,No,No,Yes,Yes
Springvale Station,Yes,Yes,No,Yes,In Part,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes
Westall Station,Yes,Yes,No,Yes,Yes,In Part,No,Yes,Yes,Yes,No,Yes,Yes,Yes
Clayton Station,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Huntingdale Station,Yes,Yes,No,No,No,In Part,Yes,Yes,No,Yes,Yes,No,Yes,No
Oakleigh Station,Yes,Yes,No,No,Yes,In Part,No,Yes,No,Yes,Yes,Yes,Yes,Yes
Hughesdale Station,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Murrumbeena Station,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
Carnegie Station,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No
Caulfield Station,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes
